competition_year,match,home_team,away_team,home_penalty,away_penalty,home_score_total,away_score_total,winner,winner_reason,date,group_name,round,round_mode,stadium_city,stadium_name,stadium_country,match_attendance,stadium_capacity,attendance_rate
Euro 1960,Czechoslovakia vs. USSR,Czechoslovakia,USSR,,,0,3,USSR,WIN_REGULAR,1960-07-06,,SEMIFINAL,KNOCK_OUT,Marseille,Stade de Marseille,FRA,25184,66534,37.9
Euro 1960,France vs. Yugoslavia,France,Yugoslavia,,,4,5,Yugoslavia,WIN_REGULAR,1960-07-06,,SEMIFINAL,KNOCK_OUT,Paris,Parc des Princes,FRA,26370,47926,55.0
Euro 1960,Czechoslovakia vs. France,Czechoslovakia,France,,,2,0,Czechoslovakia,WIN_REGULAR,1960-07-09,,THIRD_PLAY_OFF,KNOCK_OUT,Marseille,Stade de Marseille,FRA,9438,66534,14.2
Euro 1960,USSR vs. Yugoslavia,USSR,Yugoslavia,,,2,1,USSR,WIN_ON_EXTRA_TIME,1960-07-10,,FINAL,FINAL,Paris,Parc des Princes,FRA,17966,47926,37.5
Euro 1964,Denmark vs. USSR,Denmark,USSR,,,0,3,USSR,WIN_REGULAR,1964-06-17,,SEMIFINAL,KNOCK_OUT,Barcelona,Camp Nou,SPA,38556,94408,40.8
Euro 1964,Spain vs. Hungary,Spain,Hungary,,,2,1,Spain,WIN_ON_EXTRA_TIME,1964-06-17,,SEMIFINAL,KNOCK_OUT,Madrid,Estadio Santiago Bernabéu,SPA,34713,76806,45.2
Euro 1964,Hungary vs. Denmark,Hungary,Denmark,,,3,1,Hungary,WIN_ON_EXTRA_TIME,1964-06-20,,THIRD_PLAY_OFF,KNOCK_OUT,Barcelona,Camp Nou,SPA,3869,94408,4.1
Euro 1964,Spain vs. USSR,Spain,USSR,,,2,1,Spain,WIN_REGULAR,1964-06-21,,FINAL,FINAL,Madrid,Estadio Santiago Bernabéu,SPA,79115,76806,103.0
Euro 1968,Yugoslavia vs. England,Yugoslavia,England,,,1,0,Yugoslavia,WIN_REGULAR,1968-06-05,,SEMIFINAL,KNOCK_OUT,Florence,Stadio Artemio Franchi,ITA,21834,34629,63.1
Euro 1968,Italy vs. USSR,Italy,USSR,,,0,0,Italy*,DRAW,1968-06-05,,SEMIFINAL,KNOCK_OUT,Naples,Stadio San Paolo,ITA,68582,54726,125.3
