Country,Euro 1960,Euro 1964,Euro 1968,Euro 1972,Euro 1976,Euro 1980,Euro 1984,Euro 1988,Euro 1992,Euro 1996,Euro 2000,Euro 2004,Euro 2008,Euro 2012,Euro 2016,Euro 2020,Euro 2024
Albania,,,,,,,,,,,,,,,Group stage,,Group stage
Austria,,,,,,,,,,,,,Group stage,,Group stage,Round of 16,Round of 16
Belgium,,,,Third place,,Runner-up,Group stage,,,,Group stage,,,,Quarter final,Quarter final,Round of 16
Bulgaria,,,,,,,,,,Group stage,,Group stage,,,,,
CIS,,,,,,,,,Group stage,,,,,,,,
Croatia,,,,,,,,,,Quarter final,,Group stage,Quarter final,Group stage,Round of 16,Round of 16,Group stage
Czech Republic/Czechia,,,,,,,,,,Runner-up,Group stage,Semifinal,Group stage,Quarter final,Group stage,Quarter final,Group stage
Czechoslovakia,Third place,,,,Champion,Third place,,,,,,,,,,,
Denmark,,Fourth place,,,,,Semifinal,Group stage,Champion,Group stage,Group stage,Quarter final,,Group stage,,Semifinal,Round of 16
England,,,Third place,,,Group stage,,Group stage,Group stage,Semifinal,Group stage,Quarter final,,Quarter final,Round of 16,Runner-up,Final
Finland,,,,,,,,,,,,,,,,Group stage,
France,Fourth place,,,,,,Champion,,Group stage,Semifinal,Champion,Quarter final,Group stage,Quarter final,Runner-up,Round of 16,Semifinal
Georgia,,,,,,,,,,,,,,,,,Round of 16
Greece,,,,,,Group stage,,,,,,Champion,Group stage,Quarter final,,,
Hungary,,Third place,,Fourth place,,,,,,,,,,,Round of 16,Group stage,Group stage
Iceland,,,,,,,,,,,,,,,Quarter final,,
Ireland (Republic of),,,,,,,,Group stage,,,,,,Group stage,Round of 16,,
Italy,,,Champion,,,Fourth place,,Semifinal,,Group stage,Runner-up,Group stage,Quarter final,Runner-up,Quarter final,Champion,Round of 16
Latvia,,,,,,,,,,,,Group stage,,,,,
Netherlands,,,,,Third place,Group stage,,Champion,Semifinal,Quarter final,Semifinal,Semifinal,Quarter final,Group stage,,Round of 16,Semifinal
North Macedonia,,,,,,,,,,,,,,,,Group stage,
Northern Ireland,,,,,,,,,,,,,,,Round of 16,,
Norway,,,,,,,,,,,Group stage,,,,,,
Poland,,,,,,,,,,,,,Group stage,Group stage,Quarter final,Group stage,Group stage
Portugal,,,,,,,Semifinal,,,Quarter final,Semifinal,Runner-up,Quarter final,Semifinal,Champion,Round of 16,Quarter final
Romania,,,,,,,Group stage,,,Group stage,Quarter final,,Group stage,,Group stage,,Round of 16
Russia,,,,,,,,,,Group stage,,Group stage,Semifinal,Group stage,Group stage,Group stage,
Scotland,,,,,,,,,Group stage,Group stage,,,,,,Group stage,Group stage
Serbia,,,,,,,,,,,,,,,,,Group stage
Slovakia,,,,,,,,,,,,,,,Round of 16,Group stage,Round of 16
Slovenia,,,,,,,,,,,Group stage,,,,,,Round of 16
Spain,,Champion,,,,Group stage,Runner-up,Group stage,,Quarter final,Quarter final,Group stage,Champion,Champion,Round of 16,Semifinal,Final
Sweden,,,,,,,,,Semifinal,,Group stage,Quarter final,Group stage,Group stage,Group stage,Round of 16,
Switzerland,,,,,,,,,,Group stage,,Group stage,Group stage,,Round of 16,Quarter final,Quarter final
Türkiye,,,,,,,,,,Group stage,Quarter final,,Semifinal,,Group stage,Group stage,Quarter final
Ukraine,,,,,,,,,,,,,,Group stage,Group stage,Quarter final,Group stage
USSR,Champion,Runner-up,Fourth place,Runner-up,,,,Runner-up,,,,,,,,,
Wales,,,,,,,,,,,,,,,Semifinal,Round of 16,
West Germany/Germany,,,,Champion,Runner-up,Champion,Group stage,Semifinal,Runner-up,Champion,Group stage,Group stage,Runner-up,Semifinal,Semifinal,Round of 16,Quarter final
Yugoslavia,Runner-up,,Runner-up,,Fourth place,,Group stage,,,,,,,,,,
Federal Republic of Yugoslavia,,,,,,,,,,,Quarter final,,,,,,
