year,host,winner,runner_up,final,host_won,final_result,matches,goals,red_cards,total_attendance,attendance_avg
1960,France,USSR,Yugoslavia,USSR - Yugoslavia,No,2 - 1 (aet),4,17,0,78958,19739.5
1964,Spain,Spain,USSR,Spain - USSR,Yes,2 - 1,4,13,0,156253,39063.25
1968,Italy,Italy,Yugoslavia,Italy - Yugoslavia,Yes,2 - 0,5,7,1,260936,52187.2
1972,Belgium,West Germany,USSR,West Germany - USSR,No,3 - 0,4,10,0,106510,26627.5
1976,Yugoslavia,Czechoslovakia,West Germany,Czechoslovakia - West Germany,No,2 - 2 (5 - 3),4,19,3,106087,26521.75
1980,Italy,West Germany,Belgium,Belgium - West Germany,No,1 - 2,14,27,0,350655,25046.79
1984,France,France,Spain,France - Spain,Yes,2 - 0,15,41,3,599655,39977.0
1988,West Germany,Netherlands,USSR,USSR - Netherlands,No,0 - 2,15,34,0,849844,56656.27
1992,Sweden,Denmark,Germany,Denmark - Germany,No,2 - 0,15,32,0,429833,28655.53
1996,England,Germany,Czech Republic,Czech Republic - Germany,No,1 - 2 (aet),31,64,7,1276171,41166.81
2000,Belgium-Netherlands,France,Italy,France - Italy,No,2 - 1 (aet),31,85,8,1126443,36336.87
2004,Portugal,Greece,Portugal,Portugal - Greece,No,0 - 1,31,77,6,1150802,37122.65
2008,Austria-Switzerland,Spain,Germany,Germany - Spain,No,0 - 1,31,77,3,1143529,36888.03
2012,Poland-Ukraine,Spain,Italy,Spain - Italy,No,4 - 0,31,76,3,1440613,46471.39
2016,France,Portugal,France,Portugal - France,No,1 - 0 (aet),51,108,3,2427303,47594.18
2020,Several countries,Italy,England,Italy - England,No,1 - 1 (3 - 2),51,142,6,1100278,21574.08
