match,goals_scored
1960-07-06 - Czechoslovakia vs. USSR,3
1960-07-06 - France vs. Yugoslavia,9
1960-07-09 - Czechoslovakia vs. France,2
1960-07-10 - USSR vs. Yugoslavia,3
1964-06-17 - Denmark vs. USSR,3
1964-06-17 - Spain vs. Hungary,3
1964-06-20 - Hungary vs. Denmark,4
1964-06-21 - Spain vs. USSR,3
1968-06-05 - Yugoslavia vs. England,1
1968-06-05 - Italy vs. USSR,0
1968-06-08 - Italy vs. Yugoslavia,2
1968-06-08 - England vs. USSR,2
1968-06-10 - Italy vs. Yugoslavia,2
1972-06-14 - Belgium vs. West Germany,3
1972-06-14 - Hungary vs. USSR,1
1972-06-17 - Hungary vs. Belgium,3
1972-06-18 - West Germany vs. USSR,3
1976-06-16 - Czechoslovakia vs. Netherlands,4
1976-06-17 - Yugoslavia vs. West Germany,6
1976-06-19 - Netherlands vs. Yugoslavia,5
1976-06-20 - Czechoslovakia vs. West Germany,4
1980-06-11 - Czechoslovakia vs. West Germany,1
1980-06-11 - Netherlands vs. Greece,1
1980-06-12 - Belgium vs. England,2
1980-06-12 - Spain vs. Italy,0
1980-06-14 - West Germany vs. Netherlands,5
1980-06-14 - Greece vs. Czechoslovakia,4
1980-06-15 - Belgium vs. Spain,3
1980-06-15 - England vs. Italy,1
1980-06-17 - Netherlands vs. Czechoslovakia,2
1980-06-17 - Greece vs. West Germany,0
1980-06-18 - Spain vs. England,3
1980-06-18 - Italy vs. Belgium,0
1980-06-21 - Czechoslovakia vs. Italy,2
1980-06-22 - Belgium vs. West Germany,3
1984-06-12 - France vs. Denmark,1
1984-06-13 - Belgium vs. Yugoslavia,2
1984-06-14 - West Germany vs. Portugal,0
1984-06-14 - Romania vs. Spain,2
1984-06-16 - France vs. Belgium,5
1984-06-16 - Denmark vs. Yugoslavia,5
1984-06-17 - West Germany vs. Romania,3
1984-06-17 - Portugal vs. Spain,2
1984-06-19 - Denmark vs. Belgium,5
1984-06-19 - France vs. Yugoslavia,5
1984-06-20 - Portugal vs. Romania,1
1984-06-20 - West Germany vs. Spain,1
1984-06-23 - France vs. Portugal,5
1984-06-24 - Denmark vs. Spain,2
1984-06-27 - France vs. Spain,2
1988-06-10 - West Germany vs. Italy,2
1988-06-11 - Denmark vs. Spain,5
1988-06-12 - England vs. Republic of Ireland,1
1988-06-12 - Netherlands vs. USSR,1
1988-06-14 - West Germany vs. Denmark,2
1988-06-14 - Italy vs. Spain,1
1988-06-15 - England vs. Netherlands,4
1988-06-15 - Republic of Ireland vs. USSR,2
1988-06-17 - West Germany vs. Spain,2
1988-06-17 - Italy vs. Denmark,2
1988-06-18 - Republic of Ireland vs. Netherlands,1
1988-06-18 - England vs. USSR,4
1988-06-21 - West Germany vs. Netherlands,3
1988-06-22 - USSR vs. Italy,2
1988-06-25 - USSR vs. Netherlands,2
1992-06-10 - Sweden vs. France,2
1992-06-11 - Denmark vs. England,0
1992-06-12 - Netherlands vs. Scotland,1
1992-06-12 - Commonwealth of Independent States vs. Germany,2
1992-06-14 - France vs. England,0
1992-06-14 - Sweden vs. Denmark,1
1992-06-15 - Scotland vs. Germany,2
1992-06-15 - Netherlands vs. Commonwealth of Independent States,0
1992-06-17 - France vs. Denmark,3
1992-06-17 - Sweden vs. England,3
1992-06-18 - Scotland vs. Commonwealth of Independent States,3
1992-06-18 - Netherlands vs. Germany,4
1992-06-21 - Sweden vs. Germany,5
1992-06-22 - Netherlands vs. Denmark,4
1992-06-26 - Denmark vs. Germany,2
1996-06-08 - England vs. Switzerland,2
1996-06-09 - Spain vs. Bulgaria,2
1996-06-09 - Germany vs. Czechia,2
1996-06-09 - Denmark vs. Portugal,2
1996-06-10 - Netherlands vs. Scotland,0
1996-06-10 - Romania vs. France,1
1996-06-11 - Italy vs. Russia,3
1996-06-11 - Türkiye vs. Croatia,1
1996-06-13 - Bulgaria vs. Romania,1
1996-06-13 - Switzerland vs. Netherlands,2
1996-06-14 - Portugal vs. Türkiye,1
1996-06-14 - Czechia vs. Italy,3
1996-06-15 - Scotland vs. England,2
1996-06-15 - France vs. Spain,2
1996-06-16 - Russia vs. Germany,3
1996-06-16 - Croatia vs. Denmark,3
1996-06-18 - Romania vs. Spain,3
1996-06-18 - France vs. Bulgaria,4
1996-06-18 - Netherlands vs. England,5
1996-06-18 - Scotland vs. Switzerland,1
1996-06-19 - Türkiye vs. Denmark,3
1996-06-19 - Croatia vs. Portugal,3
1996-06-19 - Italy vs. Germany,0
1996-06-19 - Russia vs. Czechia,6
1996-06-22 - Spain vs. England,0
1996-06-22 - France vs. Netherlands,0
1996-06-23 - Germany vs. Croatia,3
1996-06-23 - Czechia vs. Portugal,1
1996-06-26 - France vs. Czechia,0
1996-06-26 - Germany vs. England,2
1996-06-30 - Czechia vs. Germany,3
2000-06-10 - Belgium vs. Sweden,3
2000-06-11 - Türkiye vs. Italy,3
2000-06-11 - France vs. Denmark,3
2000-06-11 - Netherlands vs. Czechia,1
2000-06-12 - Germany vs. Romania,2
2000-06-12 - Portugal vs. England,5
2000-06-13 - Spain vs. Norway,1
2000-06-13 - Yugoslavia vs. Slovenia,6
2000-06-14 - Italy vs. Belgium,2
2000-06-15 - Sweden vs. Türkiye,0
2000-06-16 - Czechia vs. France,3
2000-06-16 - Denmark vs. Netherlands,3
2000-06-17 - Romania vs. Portugal,1
2000-06-17 - England vs. Germany,1
2000-06-18 - Slovenia vs. Spain,3
2000-06-18 - Norway vs. Yugoslavia,1
2000-06-19 - Italy vs. Sweden,3
2000-06-19 - Türkiye vs. Belgium,2
2000-06-20 - Portugal vs. Germany,3
2000-06-20 - England vs. Romania,5
2000-06-21 - Slovenia vs. Norway,0
2000-06-21 - Yugoslavia vs. Spain,7
2000-06-21 - France vs. Netherlands,5
2000-06-21 - Denmark vs. Czechia,2
2000-06-24 - Türkiye vs. Portugal,2
2000-06-24 - Italy vs. Romania,2
2000-06-25 - Netherlands vs. Yugoslavia,7
2000-06-25 - Spain vs. France,3
2000-06-28 - France vs. Portugal,3
2000-06-29 - Italy vs. Netherlands,0
2000-07-02 - France vs. Italy,3
2004-06-12 - Portugal vs. Greece,3
2004-06-12 - Spain vs. Russia,1
2004-06-13 - Switzerland vs. Croatia,0
2004-06-13 - France vs. England,3
2004-06-14 - Denmark vs. Italy,0
2004-06-14 - Sweden vs. Bulgaria,5
2004-06-15 - Czechia vs. Latvia,3
2004-06-15 - Germany vs. Netherlands,2
2004-06-16 - Greece vs. Spain,2
2004-06-16 - Russia vs. Portugal,2
2004-06-17 - England vs. Switzerland,3
2004-06-17 - Croatia vs. France,4
2004-06-18 - Bulgaria vs. Denmark,2
2004-06-18 - Italy vs. Sweden,2
2004-06-19 - Latvia vs. Germany,0
2004-06-19 - Netherlands vs. Czechia,5
2004-06-20 - Russia vs. Greece,3
2004-06-20 - Spain vs. Portugal,1
2004-06-21 - Croatia vs. England,6
2004-06-21 - Switzerland vs. France,4
2004-06-22 - Denmark vs. Sweden,4
2004-06-22 - Italy vs. Bulgaria,3
2004-06-23 - Germany vs. Czechia,3
2004-06-23 - Netherlands vs. Latvia,3
2004-06-24 - Portugal vs. England,4
2004-06-25 - France vs. Greece,1
2004-06-26 - Sweden vs. Netherlands,0
2004-06-27 - Czechia vs. Denmark,3
2004-06-30 - Portugal vs. Netherlands,3
2004-07-01 - Greece vs. Czechia,1
