match,attendance
1960-07-06 - Czechoslovakia vs. USSR,25184
1960-07-06 - France vs. Yugoslavia,26370
1960-07-09 - Czechoslovakia vs. France,9438
1960-07-10 - USSR vs. Yugoslavia,17966
1964-06-17 - Denmark vs. USSR,38556
1964-06-17 - Spain vs. Hungary,34713
1964-06-20 - Hungary vs. Denmark,3869
1964-06-21 - Spain vs. USSR,79115
1968-06-05 - Yugoslavia vs. England,21834
1968-06-05 - Italy vs. USSR,68582
1968-06-08 - Italy vs. Yugoslavia,68817
1968-06-08 - England vs. USSR,68817
1968-06-10 - Italy vs. Yugoslavia,32886
1972-06-14 - Belgium vs. West Germany,55601
1972-06-14 - Hungary vs. USSR,1659
1972-06-17 - Hungary vs. Belgium,6184
1972-06-18 - West Germany vs. USSR,43066
1976-06-16 - Czechoslovakia vs. Netherlands,17879
1976-06-17 - Yugoslavia vs. West Germany,50652
1976-06-19 - Netherlands vs. Yugoslavia,6766
1976-06-20 - Czechoslovakia vs. West Germany,30790
1980-06-11 - Czechoslovakia vs. West Germany,10500
1980-06-11 - Netherlands vs. Greece,14990
1980-06-12 - Belgium vs. England,15186
1980-06-12 - Spain vs. Italy,46337
1980-06-14 - West Germany vs. Netherlands,29889
1980-06-14 - Greece vs. Czechoslovakia,7614
1980-06-15 - Belgium vs. Spain,11430
1980-06-15 - England vs. Italy,59649
1980-06-17 - Netherlands vs. Czechoslovakia,11889
1980-06-17 - Greece vs. West Germany,13901
1980-06-18 - Spain vs. England,14440
1980-06-18 - Italy vs. Belgium,42318
1980-06-21 - Czechoslovakia vs. Italy,24652
1980-06-22 - Belgium vs. West Germany,47860
1984-06-12 - France vs. Denmark,47570
1984-06-13 - Belgium vs. Yugoslavia,41525
1984-06-14 - West Germany vs. Portugal,44707
1984-06-14 - Romania vs. Spain,16972
1984-06-16 - France vs. Belgium,51359
1984-06-16 - Denmark vs. Yugoslavia,34736
1984-06-17 - West Germany vs. Romania,31787
1984-06-17 - Portugal vs. Spain,24364
1984-06-19 - Denmark vs. Belgium,36911
1984-06-19 - France vs. Yugoslavia,47510
1984-06-20 - Portugal vs. Romania,24464
1984-06-20 - West Germany vs. Spain,47691
1984-06-23 - France vs. Portugal,54848
1984-06-24 - Denmark vs. Spain,47843
1984-06-27 - France vs. Spain,47368
1988-06-10 - West Germany vs. Italy,62552
1988-06-11 - Denmark vs. Spain,55707
1988-06-12 - England vs. Republic of Ireland,51373
1988-06-12 - Netherlands vs. USSR,54336
1988-06-14 - West Germany vs. Denmark,64812
1988-06-14 - Italy vs. Spain,47506
1988-06-15 - England vs. Netherlands,63940
1988-06-15 - Republic of Ireland vs. USSR,38308
1988-06-17 - West Germany vs. Spain,63802
1988-06-17 - Italy vs. Denmark,53951
1988-06-18 - Republic of Ireland vs. Netherlands,64731
1988-06-18 - England vs. USSR,48335
1988-06-21 - West Germany vs. Netherlands,56115
1988-06-22 - USSR vs. Italy,61606
1988-06-25 - USSR vs. Netherlands,62770
1992-06-10 - Sweden vs. France,30000
1992-06-11 - Denmark vs. England,26385
1992-06-12 - Netherlands vs. Scotland,35720
1992-06-12 - Commonwealth of Independent States vs. Germany,17700
1992-06-14 - France vs. England,26535
1992-06-14 - Sweden vs. Denmark,29902
1992-06-15 - Scotland vs. Germany,17800
1992-06-15 - Netherlands vs. Commonwealth of Independent States,34440
1992-06-17 - France vs. Denmark,25763
1992-06-17 - Sweden vs. England,30126
1992-06-18 - Scotland vs. Commonwealth of Independent States,14660
1992-06-18 - Netherlands vs. Germany,37725
1992-06-21 - Sweden vs. Germany,27827
1992-06-22 - Netherlands vs. Denmark,37450
1992-06-26 - Denmark vs. Germany,37800
1996-06-08 - England vs. Switzerland,76567
1996-06-09 - Spain vs. Bulgaria,24006
1996-06-09 - Germany vs. Czechia,37300
1996-06-09 - Denmark vs. Portugal,34993
1996-06-10 - Netherlands vs. Scotland,34363
1996-06-10 - Romania vs. France,26323
1996-06-11 - Italy vs. Russia,35120
1996-06-11 - Türkiye vs. Croatia,22460
1996-06-13 - Bulgaria vs. Romania,19107
1996-06-13 - Switzerland vs. Netherlands,36800
1996-06-14 - Portugal vs. Türkiye,22670
1996-06-14 - Czechia vs. Italy,37320
1996-06-15 - Scotland vs. England,76864
1996-06-15 - France vs. Spain,35626
1996-06-16 - Russia vs. Germany,50760
1996-06-16 - Croatia vs. Denmark,33671
1996-06-18 - Romania vs. Spain,32719
1996-06-18 - France vs. Bulgaria,26976
1996-06-18 - Netherlands vs. England,76798
1996-06-18 - Scotland vs. Switzerland,34926
1996-06-19 - Türkiye vs. Denmark,28951
1996-06-19 - Croatia vs. Portugal,20484
1996-06-19 - Italy vs. Germany,53740
1996-06-19 - Russia vs. Czechia,21128
1996-06-22 - Spain vs. England,75440
1996-06-22 - France vs. Netherlands,37465
1996-06-23 - Germany vs. Croatia,43412
1996-06-23 - Czechia vs. Portugal,26832
1996-06-26 - France vs. Czechia,43877
1996-06-26 - Germany vs. England,75862
1996-06-30 - Czechia vs. Germany,73611
2000-06-10 - Belgium vs. Sweden,46700
2000-06-11 - Türkiye vs. Italy,22500
2000-06-11 - France vs. Denmark,28100
2000-06-11 - Netherlands vs. Czechia,50800
2000-06-12 - Germany vs. Romania,28500
2000-06-12 - Portugal vs. England,31500
2000-06-13 - Spain vs. Norway,41000
2000-06-13 - Yugoslavia vs. Slovenia,18500
2000-06-14 - Italy vs. Belgium,44500
2000-06-15 - Sweden vs. Türkiye,27000
2000-06-16 - Czechia vs. France,27243
2000-06-16 - Denmark vs. Netherlands,51425
2000-06-17 - Romania vs. Portugal,28400
2000-06-17 - England vs. Germany,29000
2000-06-18 - Slovenia vs. Spain,51300
2000-06-18 - Norway vs. Yugoslavia,28750
2000-06-19 - Italy vs. Sweden,30000
2000-06-19 - Türkiye vs. Belgium,48000
2000-06-20 - Portugal vs. Germany,44000
2000-06-20 - England vs. Romania,30000
2000-06-21 - Slovenia vs. Norway,21000
2000-06-21 - Yugoslavia vs. Spain,26611
2000-06-21 - France vs. Netherlands,50000
2000-06-21 - Denmark vs. Czechia,20000
2000-06-24 - Türkiye vs. Portugal,42000
2000-06-24 - Italy vs. Romania,41000
2000-06-25 - Netherlands vs. Yugoslavia,44000
2000-06-25 - Spain vs. France,26614
2000-06-28 - France vs. Portugal,48000
2000-06-29 - Italy vs. Netherlands,50000
2000-07-02 - France vs. Italy,50000
2004-06-12 - Portugal vs. Greece,48761
2004-06-12 - Spain vs. Russia,28182
2004-06-13 - Switzerland vs. Croatia,24090
2004-06-13 - France vs. England,62487
2004-06-14 - Denmark vs. Italy,19595
2004-06-14 - Sweden vs. Bulgaria,31652
2004-06-15 - Czechia vs. Latvia,21744
2004-06-15 - Germany vs. Netherlands,48197
2004-06-16 - Greece vs. Spain,25444
2004-06-16 - Russia vs. Portugal,59273
2004-06-17 - England vs. Switzerland,28214
2004-06-17 - Croatia vs. France,29160
2004-06-18 - Bulgaria vs. Denmark,24131
2004-06-18 - Italy vs. Sweden,44926
2004-06-19 - Latvia vs. Germany,22344
2004-06-19 - Netherlands vs. Czechia,29935
2004-06-20 - Russia vs. Greece,24347
2004-06-20 - Spain vs. Portugal,47491
2004-06-21 - Croatia vs. England,57047
2004-06-21 - Switzerland vs. France,28111
2004-06-22 - Denmark vs. Sweden,26115
2004-06-22 - Italy vs. Bulgaria,16002
2004-06-23 - Germany vs. Czechia,46849
2004-06-23 - Netherlands vs. Latvia,27904
2004-06-24 - Portugal vs. England,62564
2004-06-25 - France vs. Greece,45390
2004-06-26 - Sweden vs. Netherlands,27762
2004-06-27 - Czechia vs. Denmark,41092
2004-06-30 - Portugal vs. Netherlands,46679
2004-07-01 - Greece vs. Czechia,42449
2004-07-04 - Portugal vs. Greece,62865
2008-06-07 - Switzerland vs. Czechia,39730
2008-06-07 - Portugal vs. Türkiye,29106
2008-06-08 - Austria vs. Croatia,51428
2008-06-08 - Germany vs. Poland,30000
2008-06-09 - Romania vs. France,30585
2008-06-09 - Netherlands vs. Italy,30777
2008-06-10 - Spain vs. Russia,30772
2008-06-10 - Greece vs. Sweden,31063
2008-06-11 - Czechia vs. Portugal,29016
2008-06-11 - Switzerland vs. Türkiye,39730
2008-06-12 - Croatia vs. Germany,30461
2008-06-12 - Austria vs. Poland,51428
2008-06-13 - Italy vs. Romania,30585
2008-06-13 - Netherlands vs. France,30777
2008-06-14 - Sweden vs. Spain,30772
2008-06-14 - Greece vs. Russia,31063
2008-06-15 - Türkiye vs. Czechia,29016
2008-06-15 - Switzerland vs. Portugal,39730
2008-06-16 - Austria vs. Germany,51428
2008-06-16 - Poland vs. Croatia,30461
2008-06-17 - France vs. Italy,30585
