Euro_No,Albania,Austria,Belgium,Bulgaria,CIS,Croatia,Czech Republic/Czechia,Czechoslovakia,Denmark,England,Finland,France,Georgia,Greece,Hungary,Iceland,Ireland (Republic of),Italy,Latvia,Netherlands,North Macedonia,Northern Ireland,Norway,Poland,Portugal,Romania,Russia,Scotland,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Türkiye,Ukraine,USSR,Wales,West Germany/Germany,Yugoslavia,Federal Republic of Yugoslavia
1,,,,,,,,"1960",,,,"1960",,,,,,,,,,,,,,,,,,,,,,,,,"1960",,,"1960",
2,,,,,,,,,"1964",,,,,,"1964",,,,,,,,,,,,,,,,,"1964",,,,,"1964",,,,
3,,,,,,,,,,"1968",,,,,,,,"1968",,,,,,,,,,,,,,,,,,,"1968",,,"1968",
4,,,"1972",,,,,,,,,,,,"1972",,,,,,,,,,,,,,,,,,,,,,"1972",,"1972",,
5,,,,,,,,"1976",,,,,,,,,,,,"1976",,,,,,,,,,,,,,,,,,,"1976","1976",
6,,,"1980",,,,,"1980",,"1980",,,,"1980",,,,"1980",,"1980",,,,,,,,,,,,"1980",,,,,,,"1980",,
7,,,"1984",,,,,,"1984",,,"1984",,,,,,,,,,,,,"1984","1984",,,,,,"1984",,,,,,,"1984","1984",
8,,,,,,,,,"1988","1988",,,,,,,"1988","1988",,"1988",,,,,,,,,,,,"1988",,,,,"1988",,"1988",,
9,,,,,"1992",,,,"1992","1992",,"1992",,,,,,,,"1992",,,,,,,,"1992",,,,,"1992",,,,,,"1992",,
10,,,,"1996",,"1996","1996",,"1996","1996",,"1996",,,,,,"1996",,"1996",,,,,"1996","1996","1996","1996",,,,"1996",,"1996","1996",,,,"1996",,
11,,,"2000",,,,"2000",,"2000","2000",,"2000",,,,,,"2000",,"2000",,,,,"2000","2000",,,,,"2000","2000","2000",,"2000",,,,"2000",,"2000"
12,,,,"2004",,"2004","2004",,"2004","2004",,"2004",,"2004",,,,"2004","2004","2004",,,,,"2004",,"2004",,,,,"2004","2004","2004",,,,,"2004",,
13,,"2008",,,,"2008","2008",,,,,"2008",,"2008",,,,"2008",,"2008",,,,"2008","2008","2008","2008",,,,,"2008","2008","2008","2008",,,,"2008",,
14,,,,,,"2012","2012",,"2012","2012",,"2012",,"2012",,,"2012","2012",,"2012",,,,"2012","2012",,"2012",,,,,"2012","2012",,,"2012",,,"2012",,
15,"2016","2016","2016",,,"2016","2016",,,"2016",,"2016",,,"2016","2016","2016","2016",,,,"2016",,"2016","2016","2016","2016",,,"2016",,"2016","2016","2016","2016","2016",,"2016","2016",,
16,,"2020","2020",,,"2020","2020",,"2020","2020","2020","2020",,,"2020",,,"2020",,"2020","2020",,,"2020","2020",,"2020","2020",,"2020",,"2020","2020","2020","2020","2020",,"2020","2020",,
17,2024,2024,2024,,,2024,2024,,2024,2024,,2024,2024,,2024,,,2024,,2024,,,,2024,2024,2024,,2024,2024,2024,2024,2024,,2024,2024,2024,,,2024,,
