Euro_No,Albania,Austria,Belgium,Bulgaria,CIS,Croatia,Czech Republic/Czechia,Czechoslovakia,Denmark,England,Finland,France,Georgia,Greece,Hungary,Iceland,Ireland (Republic of),Italy,Latvia,Netherlands,North Macedonia,Northern Ireland,Norway,Poland,Portugal,Romania,Russia,Scotland,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Türkiye,Ukraine,USSR,Wales,West Germany/Germany,Yugoslavia,Federal Republic of Yugoslavia
1,,,,,,,,"Euro 1960",,,,"Euro 1960",,,,,,,,,,,,,,,,,,,,,,,,,"Euro 1960",,,"Euro 1960",
2,,,,,,,,,"Euro 1964",,,,,,"Euro 1964",,,,,,,,,,,,,,,,,"Euro 1964",,,,,"Euro 1964",,,,
3,,,,,,,,,,"Euro 1968",,,,,,,,"Euro 1968",,,,,,,,,,,,,,,,,,,"Euro 1968",,,"Euro 1968",
4,,,"Euro 1972",,,,,,,,,,,,"Euro 1972",,,,,,,,,,,,,,,,,,,,,,"Euro 1972",,"Euro 1972",,
5,,,,,,,,"Euro 1976",,,,,,,,,,,,"Euro 1976",,,,,,,,,,,,,,,,,,,"Euro 1976","Euro 1976",
6,,,"Euro 1980",,,,,"Euro 1980",,"Euro 1980",,,,"Euro 1980",,,,"Euro 1980",,"Euro 1980",,,,,,,,,,,,"Euro 1980",,,,,,,"Euro 1980",,
7,,,"Euro 1984",,,,,,"Euro 1984",,,"Euro 1984",,,,,,,,,,,,,"Euro 1984","Euro 1984",,,,,,"Euro 1984",,,,,,,"Euro 1984","Euro 1984",
8,,,,,,,,,"Euro 1988","Euro 1988",,,,,,,"Euro 1988","Euro 1988",,"Euro 1988",,,,,,,,,,,,"Euro 1988",,,,,"Euro 1988",,"Euro 1988",,
9,,,,,"1992",,,,"1992","1992",,"1992",,,,,,,,"1992",,,,,,,,"1992",,,,,"1992",,,,,,"1992",,
10,,,,"Euro 1996",,"Euro 1996","Euro 1996",,"Euro 1996","Euro 1996",,"Euro 1996",,,,,,"Euro 1996",,"Euro 1996",,,,,"Euro 1996","Euro 1996","Euro 1996","Euro 1996",,,,"Euro 1996",,"Euro 1996","Euro 1996",,,,"Euro 1996",,
11,,,"Euro 2000",,,,"Euro 2000",,"Euro 2000","Euro 2000",,"Euro 2000",,,,,,"Euro 2000",,"Euro 2000",,,,,"Euro 2000","Euro 2000",,,,,"Euro 2000","Euro 2000","Euro 2000",,"Euro 2000",,,,"Euro 2000",,"Euro 2000"
12,,,,"Euro 2004",,"Euro 2004","Euro 2004",,"Euro 2004","Euro 2004",,"Euro 2004",,"Euro 2004",,,,"Euro 2004","Euro 2004","Euro 2004",,,,,"Euro 2004",,"Euro 2004",,,,,"Euro 2004","Euro 2004","Euro 2004",,,,,"Euro 2004",,
13,,"Euro 2008",,,,"Euro 2008","Euro 2008",,,,,"Euro 2008",,"Euro 2008",,,,"Euro 2008",,"Euro 2008",,,,"Euro 2008","Euro 2008","Euro 2008","Euro 2008",,,,,"Euro 2008","Euro 2008","Euro 2008","Euro 2008",,,,"Euro 2008",,
14,,,,,,"Euro 2012","Euro 2012",,"Euro 2012","Euro 2012",,"Euro 2012",,"Euro 2012",,,"Euro 2012","Euro 2012",,"Euro 2012",,,,"Euro 2012","Euro 2012",,"Euro 2012",,,,,"Euro 2012","Euro 2012",,,"Euro 2012",,,"Euro 2012",,
15,"Euro 2016","Euro 2016","Euro 2016",,,"Euro 2016","Euro 2016",,,"Euro 2016",,"Euro 2016",,,"Euro 2016","Euro 2016","Euro 2016","Euro 2016",,,,"Euro 2016",,"Euro 2016","Euro 2016","Euro 2016","Euro 2016",,,"Euro 2016",,"Euro 2016","Euro 2016","Euro 2016","Euro 2016","Euro 2016",,"Euro 2016","Euro 2016",,
16,,"Euro 2020","Euro 2020",,,"Euro 2020","Euro 2020",,"Euro 2020","Euro 2020","Euro 2020","Euro 2020",,,"Euro 2020",,,"Euro 2020",,"Euro 2020","Euro 2020",,,"Euro 2020","Euro 2020",,"Euro 2020","Euro 2020",,"Euro 2020",,"Euro 2020","Euro 2020","Euro 2020","Euro 2020","Euro 2020",,"Euro 2020","Euro 2020",,
17,Euro 2024,Euro 2024,Euro 2024,,,Euro 2024,Euro 2024,,Euro 2024,Euro 2024,,Euro 2024,Euro 2024,,Euro 2024,,,Euro 2024,,Euro 2024,,,,Euro 2024,Euro 2024,Euro 2024,,Euro 2024,Euro 2024,Euro 2024,Euro 2024,Euro 2024,,Euro 2024,Euro 2024,Euro 2024,,,Euro 2024,,
