country,participations
Albania,2
Austria,4
Belgium,7
Bulgaria,2
CIS,1
Croatia,7
Czech Republic/Czechia,8
Czechoslovakia,3
Denmark,10
England,11
Finland,1
France,11
Georgia,1
Greece,4
Hungary,5
Iceland,1
Ireland (Republic of),3
Italy,11
Latvia,1
Netherlands,11
North Macedonia,1
Northern Ireland,1
Norway,1
Poland,5
Portugal,9
Romania,6
Russia,6
Scotland,4
Serbia,1
Slovakia,3
Slovenia,2
Spain,12
Sweden,7
Switzerland,6
Türkiye,6
Ukraine,4
USSR,5
Wales,2
West Germany/Germany,14
Yugoslavia,4
Federal Republic of Yugoslavia,1
